column_name,rows,missing_count,missing_rate,zero_count,negative_count,min,max
housing_totprice,4295141,0,0.0,423,0,0.0,28287000000.0
h_price_m2,4295141,515,0.00011990293217382154,17467,0,0.0,398667845.0
h_price_pin,4295141,17895,0.004166335866505896,18251,0,0.0,1317910144.0
trans_size,4295141,0,0.0,17879,0,0.0,1430013.458950202
parking_size,4295141,0,0.0,3330933,0,0.0,8670000.0
parking_price,4295141,0,0.0,3624880,0,0.0,868680000.0
