column_name,rows,missing_count,missing_rate,unique_count
story,3146530,8229,0.0026152618916711425,40
manage,3146530,0,0.0,2
parking_type,1333136,635,0.0004763204954333241,8
usage_type,4295141,872554,0.20314909335921685,6
nonurban_type,4295141,3438525,0.8005616113650286,17
nonurban_categ,4295141,4295141,1.0,1
