digit_length,row_count,row_share
1,4,1.2712416535040187e-06
2,244,7.754574086374514e-05
3,35,1.1123364468160164e-05
4,774,0.00024598525995302763
5,246,7.818136169049715e-05
6,1707823,0.5427639336030484
7,1371592,0.43590622050322103
