transaction_type,rows,missing,zero,negative,min,max
土地,1148611,0,206,0,0.0,1430009.0
房地(土地+建物),1813394,0,187,0,0.0,1950670.75
房地(土地+建物)+車位,1333136,0,174,0,0.0,39544.0
