building_type,row_count,row_share
住宅大樓(11層含以上有電梯),349695,0.7066201372442835
華廈(10層含以下有電梯),69447,0.1403298550771494
透天厝,68470,0.13835565506260053
套房(1房1廳1衛),2088,0.004219170553099312
店面(店鋪),1946,0.003932234624679723
辦公商業大樓,954,0.0019277244768470996
公寓(5樓含以下無電梯),671,0.0013558732955601717
廠辦,617,0.0012467568157386378
其他,398,0.0008042288697957501
工廠,331,0.000668843607794958
農舍,263,0.0005314376702419153
倉庫,4,8.082702209002514e-06
