gap_group,row_count,row_share
25_60_months,200826,0.4058041884562847
13_24_months,153850,0.3108809337137592
7_12_months,70506,0.14246975048698282
1_3_months,33346,0.06738144696534945
4_6_months,32755,0.06618722771396933
over_60_months,3601,0.007276452663654513
